user_code,name,avg_score,rv_cnt,follower_cnt
USR0000,냐밍,4.3,355,69
USR0001,발통이,4.5,113,1
USR0002,우리의나날,4.5,420,2
USR0003,냠냠냠히,4.8,71,0
USR0004,밍민,4.8,232,2
USR0005,먼지님,4.5,532,47
USR0006,맛집마니아아,3.7,139,0
USR0007,따줘,4.5,134,1
USR0008,이시국먹방러,3.6,272,3
USR0009,"다코미식가
윤깅",3.7,122,50
USR0010,MarkJacob,4.5,409,19
USR0011,"다코미식가
조이",3.7,556,195
USR0012,Fraise,4.4,133,12
USR0013,혀니,3.6,12,14
USR0014,최유빈,3.7,3,0
USR0015,"다코미식가
summerhonged",3.5,177,52
USR0016,대방94,4.5,70,1
USR0017,깨흥,4.2,73,1
USR0018,엘리자베스 아델리 펭귀니,4.3,79,7
USR0019,sora,4.3,19,0
USR0020,말많은복숭아,4.6,10,0
USR0021,화양연가,3.9,97,6
USR0022,ymmd,4.9,1209,29
USR0023,조나123,3.9,23,3
USR0024,gangvy,4.5,262,14
USR0025,Gina,4.0,16,1
USR0026,lin,4.5,135,1
USR0027,도래,4.5,763,25
USR0028,ync,4.0,40,3
USR0029,양잉,4.0,219,3
USR0030,"다코미식가
Ariel",3.8,91,27
USR0031,Jisu Pyo,4.3,2,0
USR0032,"다코미식가
미식한무식가",3.7,1007,52
USR0033,조코코,4.5,176,1
USR0034,young11,5.0,357,1
USR0035,바람개비,3.9,488,3
USR0036,찹살콩,4.2,35,2
USR0037,해블리,4.5,92,3
USR0038,캐슈,3.5,4,0
USR0039,두부엄마,4.3,70,4
USR0040,코코리,3.2,728,8
USR0041,참옥토,4.3,113,3
USR0042,스마일,5.0,192,2
USR0043,히융zz,3.9,76,1
USR0044,손미정,3.9,15,0
USR0045,SSONG,4.1,307,2
USR0046,잉치킨,4.3,212,3
USR0047,와앙악,5.0,1,0
USR0048,참새방앗간,4.2,185,0
USR0049,트라,4.8,13,0
USR0050,서나라구,4.5,233,4
USR0051,참치뱃살,3.5,11,0
USR0052,서넝,4.4,54,0
USR0053,맛집연구센터,4.8,542,23
USR0054,김은댕,4.6,217,3
USR0055,맛잘옌,4.2,150,3
USR0056,으룡,4.5,21,0
USR0057,다이닝서울,3.7,23,0
USR0058,잼퍄,4.8,125,0
USR0059,둥편,4.6,260,0
USR0060,웅앵,3.6,504,15
USR0061,Jens day,4.0,906,5
USR0062,"다코미식가
뿌우",3.8,529,64
USR0063,ChocoJelly,4.5,192,1
USR0064,달빛으로 그리다,5.0,23,0
USR0065,베베로나,4.8,124,1
USR0066,존맛탱,3.0,1,0
USR0067,만두,5.0,2,0
USR0068,아카이브13,4.7,197,0
USR0069,햇살미소,4.2,113,1
USR0070,김현재90,4.9,89,1
USR0071,케케케캬,5.0,270,1
USR0072,파파파,5.0,242,0
USR0073,뚭뚜비,5.0,343,2
USR0074,놀고먹고,4.4,27,1
USR0075,misik88,4.0,278,1
USR0076,qwerty,4.1,613,14
USR0077,안쓰러운샐러드소스,5.0,117,1
USR0078,배추밭에찾아온흰나비,4.7,139,0
USR0079,illuille,4.4,103,0
USR0080,건들면물어요,4.6,175,0
USR0081,샤머니즘,1.0,1,0
USR0082,단미,4.2,583,14
USR0083,고모부광혀니,5.0,1,0
USR0084,꼬모별이,4.4,86,1
USR0085,"다코미식가
spinni",3.8,147,463
USR0086,야나두,3.6,376,4
USR0087,제리포,5.0,4,0
USR0088,damdam,3.5,2,0
USR0089,임수정,5.0,1,0
USR0090,2은둉,4.5,74,0
USR0091,대뽕,4.1,830,61
USR0092,코어,4.0,257,8
USR0093,삼육다,4.3,27,0
USR0094,Sang Jin Hong,4.3,3,0
USR0095,장재호,4.0,3,0
USR0096,맛디터,4.1,101,1
USR0097,솢엉,4.6,8,1
USR0098,졸린곰26,4.1,71,2
USR0099,돌풍,3.9,53,12
USR0100,민스,4.1,933,13
USR0101,Kiikk,4.3,19,0
USR0102,두부,5.0,2,0
USR0103,덕구K,5.0,1,0
USR0104,강희,4.4,221,2
USR0105,뱁새,4.5,237,0
USR0106,이공,4.3,384,1
USR0107,코르마뇽,4.2,130,18
USR0108,강민재로,4.4,60,26
USR0109,가즈아,3.6,449,13
USR0110,을지로직장인,4.4,452,19
USR0111,먹개비282,4.9,330,1
USR0112,에크,3.8,62,0
USR0113,이수현,5.0,3,0
USR0114,맛좋아,4.0,901,78
USR0115,lami88,4.0,316,1
USR0116,BR,4.4,170,4
USR0117,혀영만선생님,4.5,27,0
USR0118,ronny,4.8,1083,15
USR0119,youmei95,4.9,16,0
USR0120,ny1566,4.3,191,2
USR0121,MinChae Kang,5.0,1,0
USR0122,anne33,4.4,236,2
USR0123,woodz,5.0,120,1
USR0124,아녜스,3.9,315,1
USR0125,이다별,3.8,427,5
USR0126,혜오리,4.9,87,0
USR0127,aa주야aa,5.0,90,0
USR0128,행운24,5.0,88,0
USR0129,냥이냥냐냥,3.7,243,5
USR0130,쁘뚠,4.1,43,3
USR0131,"다코미식가
ej",4.1,699,50
USR0132,오리형아,4.4,37,1
USR0133,meraki,4.1,246,4
USR0134,코코미미언니,4.1,400,19
USR0135,coon,5.0,1,0
USR0136,봉돌,5.0,1,0
USR0137,tiffany,5.0,2,0
USR0138,"다코미식가
요롱이",4.3,738,127
USR0139,Mishall,2.3,7,0
USR0140,ohmiy7,5.0,1,0
USR0141,쩝쩝이,4.4,244,2
USR0142,호호잇잇,4.2,387,8
USR0143,ㅃㅃㅃ,4.6,873,9
USR0144,식사는귀인과함께,5.0,19,2
USR0145,lionet24,5.0,5,0
USR0146,onttm,4.2,40,1
USR0147,내꿈은,5.0,11,1
USR0148,브레드kim,5.0,31,1
USR0149,가즈아안,5.0,12,1
USR0150,가리는거많은도비,4.3,29,0
USR0151,뭉뭉신,5.0,4,0
USR0152,몽키스패너,5.0,10,2
USR0153,비날,5.0,8,0
USR0154,오이싫어오이,4.8,324,5
USR0155,생갈치1호의행방불명,3.6,262,3
USR0156,맛집e좋아,4.9,265,3
USR0157,령쿠,4.9,8,0
USR0158,블룸39,4.9,7,1
USR0159,felicity,4.0,109,6
USR0160,카딩,5.0,14,1
USR0161,"다코미식가
김지연",4.5,587,142
USR0162,riribb,5.0,1,0
USR0163,비모귀여웡,5.0,485,2
USR0164,해밭,4.0,1111,3
USR0165,해롱,4.9,779,1
USR0166,애플샤베뜨,5.0,2,1
USR0167,김감자귤,4.8,80,0
USR0168,낮에뜨는달,4.2,120,0
USR0169,냠냠987,3.7,223,0
USR0170,다닝12,4.4,424,12
